Date,Opponent,Match Type,Server,In,Ace,Error (net or wide),Error (long),Any Error,Speed (#),Serve Number,Serve Location,Serve Desination,Seam,Serve Rating (1-3),Point Score?,Expected SO %,Expected PS%,Opp. Pass Rating
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,41,1,1,1,0,1,1,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Campbell,1,0,0,0,0,40,2,1,6,0,3,0,0.45,0.55,1
1/6/2024,Saint Francis,Scrimmage,Andrew,1,0,0,0,0,31,1,5,5,0,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Andrew,1,0,0,0,0,31,2,5,5,0,1,1,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Andrew,1,0,0,0,0,35,3,5,5,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Jared,1,0,0,0,0,44,1,1,5,1,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Ethan,0,0,0,1,1,38,1,6,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Max,0,0,0,1,1,39,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Octavian,1,0,0,0,0,34,1,1,5,0,1,1,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Octavian,0,0,1,0,1,43,2,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Gavin,0,0,0,1,1,42,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Will,1,0,0,0,0,45,1,1,6,0,2,0,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Jared,1,1,0,0,0,43,1,1,5,1,4,1,0,1,0
1/6/2024,Saint Francis,Scrimmage,Jared,1,0,0,0,0,44,1,1,6,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Ethan,1,0,0,0,0,32,1,6,5,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Peter,1,1,0,0,0,35,1,1,1,1,4,1,0,1,0
1/6/2024,Saint Francis,Scrimmage,Peter,1,0,0,0,0,36,1,1,6,1,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Max,0,0,1,0,1,43,1,1,NA,NA,0,0,1,0,FALSE
1/6/2024,Saint Francis,Scrimmage,Octavian,1,0,0,0,0,40,1,1,6,1,2,1,0.65,0.35,2
1/6/2024,Saint Francis,Scrimmage,Octavian,1,0,0,0,0,43,2,1,6,0,1,0,0.7,0.3,3
1/6/2024,Saint Francis,Scrimmage,Gavin,1,0,0,0,0,42,1,1,5,0,1,1,0.7,0.3,3
1/15/2023,Mount Aloysius,Scrimmage,Jacob,1,0,0,0,0,40,,,,1,2,1,0.65,0.35,2
1/15/2023,Mount Aloysius,Scrimmage,Jacob,1,1,0,0,0,42,,,,1,4,1,0,1,0
1/15/2023,Mount Aloysius,Scrimmage,Jacob,1,0,0,0,0,38,,,,1,2,0,0.65,0.35,2
1/15/2023,Mount Aloysius,Scrimmage,Jacob,0,0,0,1,1,45,,,,NA,0,0,1,0,FALSE
1/15/2023,Mount Aloysius,Scrimmage,Jacob,0,0,1,0,1,42,,,,NA,0,0,1,0,FALSE
1/15/2023,Mount Aloysius,Scrimmage,Jacob,1,1,0,0,0,43,,,,1,4,1,0,1,0
1/15/2023,Mount Aloysius,Scrimmage,Jacob,1,0,0,0,0,42,,,,0,2,1,0.65,0.35,2
1/15/2023,Mount Aloysius,Scrimmage,Jacob,1,0,0,0,0,42,,,,1,2,0,0.65,0.35,2
1/15/2023,Mount Aloysius,Scrimmage,Jacob,1,0,0,0,0,42,,,,1,1,1,0.7,0.3,3
1/15/2023,Mount Aloysius,Scrimmage,Jacob,1,0,0,0,0,41,,,,1,2,0,0.65,0.35,2
1/15/2023,Mount Aloysius,Scrimmage,Jacob,1,0,0,0,0,40,,,,0,1,0,0.7,0.3,3
1/15/2023,Mount Aloysius,Scrimmage,Jacob,1,0,0,0,0,47,,,,1,1,0,0.7,0.3,3
2/3/2023,Geneva,Match,Jacob,0,0,1,0,1,48,1,1,NA,NA,0,0,1,0,FALSE
2/17/2023,PSUA,Match,Jacob,1,0,0,0,0,45,1,1,1,1,1,0,0.7,0.3,3
2/17/2023,PSUA,Match,Jacob,1,0,0,0,0,45,1,1,6,0,2,0,0.65,0.35,2
2/17/2023,PSUA,Match,Jacob,1,0,0,0,0,44,1,6,5,1,1,1,0.7,0.3,3
2/17/2023,PSUA,Match,Jacob,1,0,0,0,0,48,2,6,6,1,1,0,0.7,0.3,3
10/27/2022,Juniata,Practice,Jared,1,0,0,0,0,33,,,,0,1,1,0.7,0.3,3
10/27/2022,Juniata,Practice,Jared,1,0,0,0,0,38,,,,1,2,1,0.65,0.35,2
10/27/2022,Juniata,Practice,Jared,1,0,0,0,0,42,,,,0,1,0,0.7,0.3,3
10/27/2022,Juniata,Practice,Jared,0,0,1,0,1,36,,,,NA,0,0,1,0,FALSE
10/27/2022,Juniata,Practice,Jared,1,0,0,0,0,34,,,,1,1,0,0.7,0.3,3
10/27/2022,Juniata,Practice,Jared,0,0,0,1,1,35,,,,NA,0,0,1,0,FALSE
10/27/2022,Juniata,Practice,Jared,1,0,0,0,0,36,,,,1,2,0,0.65,0.35,2
10/28/2022,Blue/Gold,Scrimmage,Jared,0,0,0,1,1,35,,,,NA,0,0,1,0,FALSE
10/28/2022,Blue/Gold,Scrimmage,Jared,0,0,0,1,1,36,,,,NA,0,0,1,0,FALSE
10/28/2022,Blue/Gold,Scrimmage,Jared,1,0,0,0,0,31,,,,0,1,0,0.7,0.3,3
10/28/2022,Blue/Gold,Scrimmage,Jared,1,0,0,0,0,42,,,,0,2,1,0.65,0.35,2
10/28/2022,Blue/Gold,Scrimmage,Jared,0,0,0,1,1,38,,,,NA,0,0,1,0,FALSE
10/28/2022,Blue/Gold,Scrimmage,Jared,1,0,0,0,0,34,,,,0,2,0,0.65,0.35,2
1/15/2023,Mount Aloysius,Scrimmage,Jared,1,0,0,0,0,34,,,,0,3,0,0.45,0.55,1
1/15/2023,Mount Aloysius,Scrimmage,Jared,1,0,0,0,0,37,,,,1,2,1,0.65,0.35,2
1/15/2023,Mount Aloysius,Scrimmage,Jared,1,0,0,0,0,32,,,,0,3,1,0.45,0.55,1
1/15/2023,Mount Aloysius,Scrimmage,Jared,0,0,1,0,1,35,,,,NA,4,1,0,1,0
1/15/2023,Mount Aloysius,Scrimmage,Jared,1,0,0,0,0,34,,,,1,2,1,0.65,0.35,2
1/15/2023,Mount Aloysius,Scrimmage,Jared,1,0,0,0,0,31,,,,1,2,1,0.65,0.35,2
1/15/2023,Mount Aloysius,Scrimmage,Jared,1,0,0,0,0,38,,,,1,1,0,0.7,0.3,3
1/15/2023,Mount Aloysius,Scrimmage,Jared,0,0,1,0,1,32,,,,NA,4,1,0,1,0
1/15/2023,Mount Aloysius,Scrimmage,Jared,1,0,0,0,0,32,,,,0,1,1,0.7,0.3,3
4/8/2023,Drew,Match,Jared,0,0,1,0,1,40,1,1,NA,NA,0,0,1,0,FALSE
10/27/2023,Blue/Gold,Scrimmage,Jared,1,0,0,0,0,41,1,1,5,1,2,1,0.65,0.35,2
10/27/2023,Blue/Gold,Scrimmage,Jared,1,0,0,0,0,43,2,1,6,0,3,1,0.45,0.55,1
10/27/2023,Blue/Gold,Scrimmage,Jared,0,0,1,0,1,43,1,1,NA,NA,0,0,1,0,FALSE
10/27/2023,Blue/Gold,Scrimmage,Jared,1,0,0,0,0,40,1,1,6,0,1,0,0.7,0.3,3
10/27/2023,Blue/Gold,Scrimmage,Jared,1,0,0,0,0,41,1,1,6,0,2,0,0.65,0.35,2
10/27/2023,Blue/Gold,Scrimmage,Jared,1,0,0,0,0,50,1,1,5,1,2,0,0.65,0.35,2
10/27/2023,Blue/Gold,Scrimmage,Jared,1,0,0,0,0,46,1,1,5,0,2,0,0.65,0.35,2
10/27/2023,Blue/Gold,Scrimmage,Jared,1,0,0,0,0,46,1,1,6,0,2,0,0.65,0.35,2
10/25/2022,Juniata,Practice,Luke,1,0,0,0,0,41,,1,2,0,2,0,0.65,0.35,2
10/25/2022,Juniata,Practice,Luke,1,0,0,0,0,44,,1,2,0,2,1,0.65,0.35,2
10/25/2022,Juniata,Practice,Luke,1,0,0,0,0,58,,1,2,1,2,0,0.65,0.35,2
10/27/2022,Juniata,Practice,Luke,1,0,0,0,0,38,,1,1,0,1,0,0.7,0.3,3
10/27/2022,Juniata,Practice,Luke,0,0,0,1,1,57,,1,NA,NA,4,1,0,1,0
10/27/2022,Juniata,Practice,Luke,1,0,0,0,0,42,,1,1,1,1,0,0.7,0.3,3
10/27/2022,Juniata,Practice,Luke,1,0,0,0,0,48,,1,1,1,1,0,0.7,0.3,3
10/27/2022,Juniata,Practice,Luke,1,0,0,0,0,53,,1,1,0,1,0,0.7,0.3,3
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,38,,1,2,1,2,0,0.65,0.35,2
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,51,,1,3,1,3,1,0.45,0.55,1
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,43,,1,1,1,1,0,0.7,0.3,3
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,42,,1,2,0,2,1,0.65,0.35,2
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,49,,1,1,1,1,0,0.7,0.3,3
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,52,,1,1,1,1,1,0.7,0.3,3
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,49,,1,3,1,3,1,0.45,0.55,1
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,55,,1,3,1,3,1,0.45,0.55,1
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,49,,1,3,1,3,0,0.45,0.55,1
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,53,,1,3,0,3,0,0.45,0.55,1
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,52,,1,2,1,2,0,0.65,0.35,2
10/28/2022,Blue/Gold,Scrimmage,Luke,1,1,0,0,0,51,,1,4,1,4,1,0,1,0
10/28/2022,Blue/Gold,Scrimmage,Luke,1,1,0,0,0,53,,1,4,0,4,1,0,1,0
10/28/2022,Blue/Gold,Scrimmage,Luke,1,0,0,0,0,49,,1,2,1,2,0,0.65,0.35,2
11/3/2022,Juniata,Practice,Luke,1,0,0,0,0,44,,1,1,0,1,0,0.7,0.3,3
11/6/2022,Mason,Scrimmage,Luke,0,0,0,1,1,53,,1,0,NA,0,0,1,0,FALSE
11/6/2022,Mason,Scrimmage,Luke,1,0,0,0,0,41,,1,2,1,2,0,0.65,0.35,2
2/3/2023,SJF,Match,Luke,1,0,0,0,0,48,1,1,5,0,2,0,0.65,0.35,2
2/3/2023,SJF,Match,Luke,0,0,1,0,1,47,1,1,NA,NA,0,0,1,0,FALSE
2/3/2023,SJF,Match,Luke,1,0,0,0,0,46,1,1,1,0,2,1,0.65,0.35,2
2/3/2023,SJF,Match,Luke,1,0,0,0,0,52,2,1,1,1,2,1,0.65,0.35,2
2/3/2023,SJF,Match,Luke,1,0,0,0,0,53,3,1,1,1,1,0,0.7,0.3,3
2/3/2023,SJF,Match,Luke,0,0,0,1,1,46,1,1,NA,NA,0,0,1,0,FALSE
2/3/2023,SJF,Match,Luke,1,0,0,0,0,50,1,1,1,1,1,0,0.7,0.3,3
2/3/2023,SJF,Match,Luke,1,0,0,0,0,56,1,1,6,1,3,1,0.45,0.55,1
2/3/2023,SJF,Match,Luke,1,0,0,0,0,60,2,1,6,1,3,1,0.45,0.55,1
2/3/2023,SJF,Match,Luke,1,0,0,0,0,53,3,1,6,0,2,1,0.65,0.35,2
2/3/2023,SJF,Match,Luke,1,0,0,0,0,58,4,1,1,1,2,0,0.65,0.35,2
2/3/2023,SJF,Match,Luke,1,0,0,0,0,54,1,1,6,1,3,1,0.45,0.55,1
2/3/2023,SJF,Match,Luke,1,1,0,0,0,54,2,1,6,1,4,1,0,1,0
2/3/2023,SJF,Match,Luke,0,0,0,1,1,60,3,1,NA,NA,0,0,1,0,FALSE
2/4/2023,Stevenson,Match,Luke,1,0,0,0,0,49,1,1,1,1,1,0,0.7,0.3,3
2/4/2023,Stevenson,Match,Luke,1,1,0,0,0,46,1,1,6,1,4,1,0,1,0
2/4/2023,Stevenson,Match,Luke,1,0,0,0,0,50,2,1,6,1,2,1,0.65,0.35,2
2/4/2023,Stevenson,Match,Luke,1,0,0,0,0,52,3,1,6,1,1,1,0.7,0.3,3
